img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1166485766035451906.jpg,Have a september birthday you can save by starting a fundraiser,There are two people in the image.,a child in a graduation hat sits on a chalkboard,abortion
1045568861070864385.jpg,International Safe Abortion Day,There are two people in the image.,A poster for the international safe abortion day features a woman with her hands covered in dirt.,abortion
1351587030480797697.jpg,ultrasounds prevent abortions,There are two people in the image.,two babies in a bed with the words ultrasounds prevent abortions,abortion
1046385057701785600.jpg,callout cps,There are two people in the image.,"A woman is holding up a sign that reads call out cps, which is a campaign to raise awareness about cps. The person is standing in front of a wall and holding up a sign that reads call out cps.",abortion
1232516670876528640.jpg,The text on the image reads my body my rights.,There are a large number of people in the image.,a group of people holding a sign that says my body my rights,abortion
1300761592611700739.jpg,third breast augmentation orlando,There are two people in the image.,"The advertisement features a woman sitting in a pink chair on a machine that is labeled as a third-degree thoracic aortic aneurysm repair procedure in Orlando, Florida.",abortion
1245733350700126212.jpg,Prevue Life tuesday 4/2,There are two people in the image.,a poster with two people talking about the bible and abortion,abortion
1278338869826662402.jpg,nothing,There are two people in the image.,"The image depicts a female doctor pointing at a laptop screen with an image of a woman's uterus. The image is part of a series of images that show the relationship between a patient and a doctor, as well as the relationship between a doctor and a patient. The image shows a doctor pointing at a laptop screen with an image of a woman's uterus. The image shows a doctor pointing at a laptop screen with an image of a woman's uterus. The image shows a doctor pointing at a laptop screen with an image of a woman's uterus. The image shows a doctor pointing at a laptop screen with an image of a woman's uterus. The image shows a doctor pointing at a laptop screen with an image of a woman's uterus. The image shows a doctor pointing at a laptop screen with an image of a woman's uterus. The image shows a doctor pointing at a laptop screen with an image of a woman's uterus. The image shows a doctor pointing",abortion
1196752518489001985.jpg,old rights to be enshrined,There are no people in the image.,"an image of a text that reads, 'old right to be inducted into the hall of fame'",abortion
1226181394197401602.jpg,baby laying on bed,There are no people in the image.,"The image features a baby laying on a bed, smiling and posing for the camera. The baby may be a child with a developmental disability, such as spina bifida, cerebral palsy, or cerebral palsy-related cerebral palsy. It may also be a child with a physical disability, such as cerebral palsy, cerebral palsy, or cerebral palsy-related cerebral palsy.",abortion
1108751556013449216.jpg,black and white image of a woman holding a baby,There are two people in the image.,a black and white photo of a woman holding a baby,abortion
1258786705508876289.jpg,nothing,There are two people in the image.,"The image shows a woman standing in the middle of a parking lot, next to a fence. There are several cars parked on the side of the road, and a person is holding a frisbee in her hands.",abortion
1103872992537276417.jpg,I deserve to be loved,There is one person in the image.,i deserve to be loved is an ad for acpc that features a baby with afro hair and a white shirt.,abortion
1200836918386315264.jpg,Payments from Research Customers to Procurement Business,There are two people in the image.,"A poster with a picture of a pregnant woman holding a sign that reads ""Purchases from Research Customers to Procurement Business"" on it.",abortion
1358484392528797700.jpg,"The text on the image reads Best Filmmaker, Roe W. Wade, Director, Nick Lamb.",There are no people in the image.,a gold medal with the words best film maker on it,abortion
1131667879974318090.jpg,ryan mccarthy michael,There are no people in the image.,a screenshot of a text message on a phone,abortion
1067541575864074243.jpg,"The text on the image reads, 'choose life i save the voice of the voiceless'.",There are a number of people in the image.,a group of people holding signs that say choose life,abortion
1088091522308993024.jpg,nothing,There are two people in the image.,"The image features a woman wearing a scarf and standing in front of a fence. The woman's face can be seen through the fence, creating a mirror image of her face. The reflection of the woman's face can also be seen through the fence, suggesting that she is looking at herself through the fence. The reflection of the woman's face can also be seen through the fence, suggesting that she is looking at herself through the fence. The reflection of the woman's face can also be seen through the fence, suggesting that she is looking at herself through the fence. The reflection of the woman's face can also be seen through the fence, suggesting that she is looking at herself through the fence. The reflection of the woman's face can also be seen through the fence, suggesting that she is looking at herself through the fence. The reflection of the woman's face can also be seen through the fence, suggesting that she is looking at herself through the fence. The reflection of the woman's face can also be seen through the fence, suggesting that she is looking at herself through the fence. The reflection of the woman's face can also be seen through the fence, suggesting that she is looking at herself through the fence",abortion
1158438826928410631.jpg,"3, 000 children killed today in terrible massacre",There are no people in the image.,an empty waiting room with a sign that reads 3000 children killed today in terrible massacre,abortion
1271844796903182339.jpg,Many george floyds will die here today,There are two people in the image.,a woman holding a sign that says many george floyds will die here today,abortion
1289617189360635905.jpg,Black Pregnancy Lives Matter,There are four people in the image.,"The image depicts a group of people holding signs that read ""Black Prematurity Lives Matter"" or ""Black Lives Matter"". They are walking down a street while wearing face masks to protect their faces from the sun.",abortion
1228157960150507520.jpg,Abortion Endangers Us,There are no people in the image.,A black and white image of a baby sleeping with the text abortion ends us.,abortion
1147530259887206400.jpg,full rights extended to women first,There are no people in the image.,a screenshot of a text message on a phone,abortion
1103165762515189760.jpg,jenny p b a,There are two people in the image.,Several people are sitting in a room with a television screen showing a live news broadcast. There is a woman wearing a pink shirt and a man wearing a blue shirt.,abortion
1101602022212755456.jpg,Abortion bans are class warfare,There are no people in the image.,An image of a pile of money with the words abortion bans are class warfare written on it.,abortion
1190926767495766016.jpg,Our baby survived his abortion appointment,There are four people in the image.,a group of people holding a sign that says our baby survived his abortion appointment,abortion
1133318683865112576.jpg,Women's rights are human rights,There are a large number of people in the image.,Several people are holding signs in support of women's rights at a protest,abortion
1179891146459406341.jpg,mother hugging baby at sunset,There are two people in the image.,A woman is holding a baby in a field at sunset. The woman is wearing a white shirt and is holding the baby in her arms.,abortion
1281418571223126018.jpg,You can't say black lives matter when black lives don't matter,There are no people in the image.,you can't say black lives matter when baby lives don't matter,abortion
1044695605438812160.jpg,abortion has been within your reach,There is one person in the image.,"a bald man holding up a sign that reads ""alzheimer's has never been your friend""",abortion
1232300479184605184.jpg,Planned Parenthood Women's Rights Are Human Rights,There are two people in the image.,"The image features a man standing in front of a poster that reads, ""Women's rights are human rights."" The poster is accompanied by the text, ""Planned Parenthood: Women's rights are human rights.""",abortion
